city,buurt,title,subtitle,price,rooms,area1,area2,date,link
amsterdam,overtoomse-veld,Jan Evertsenstraat 617,1061 XZ Amsterdam,400000.0,3,89,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87472332-jan-evertsenstraat-617/
amsterdam,overtoomse-veld,Nachtwachtlaan 491,1058 ES Amsterdam,445000.0,4,98,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41137657-nachtwachtlaan-491/
amsterdam,overtoomse-veld,Jan Tooropstraat 16,1062 BM Amsterdam,580000.0,4,130,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41122709-jan-tooropstraat-16/
amsterdam,overtoomse-veld,Jan Evertsenstraat 497,1061 XZ Amsterdam,475000.0,4,106,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87543556-jan-evertsenstraat-497/
amsterdam,overtoomse-veld,Johan Jongkindstraat 240,1062 DK Amsterdam,450000.0,4,112,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41004400-johan-jongkindstraat-240/
amsterdam,overtoomse-veld,Jan Evertsenstraat 501,1061 XZ Amsterdam,400000.0,3,91,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41067896-jan-evertsenstraat-501/
amsterdam,burgwallen-nieuwe-zijde,Blaeu Erf 8 IV,1012 PZ Amsterdam,875000.0,3,127,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41193769-blaeu-erf-8-iv/
amsterdam,burgwallen-nieuwe-zijde,Singel 71,1012 VE Amsterdam,865000.0,5,105,24.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41189765-singel-71/
amsterdam,burgwallen-nieuwe-zijde,Dirk van Hasseltssteeg 32,1012 NE Amsterdam,690000.0,4,94,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41733367-dirk-van-hasseltssteeg-32/
amsterdam,burgwallen-nieuwe-zijde,Keizerrijk 5,1012 VM Amsterdam,699000.0,4,121,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41002418-keizerrijk-5/
amsterdam,burgwallen-nieuwe-zijde,Spuistraat 297 B,1012 VS Amsterdam,899000.0,4,117,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87599634-spuistraat-297-b/
amsterdam,burgwallen-nieuwe-zijde,Spuistraat 34 A,1012 TT Amsterdam,574500.0,4,113,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41006428-spuistraat-34-a/
amsterdam,burgwallen-nieuwe-zijde,Singel 283 sous,1012 WG Amsterdam,600000.0,3,93,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41086631-singel-283-sous/
amsterdam,rijnbuurt,Rijnstraat 222 3,1079 HV Amsterdam,850000.0,4,137,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41029957-rijnstraat-222-3/
amsterdam,rijnbuurt,Eemsstraat 76 II+III,1079 TL Amsterdam,600000.0,4,100,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41110478-eemsstraat-76-ii-iii/
amsterdam,rijnbuurt,Rijnstraat 215 -3,1079 HG Amsterdam,895000.0,7,160,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41649245-rijnstraat-215-3/
amsterdam,rijnbuurt,Bernissestraat 16 -B,1079 ZW Amsterdam,750000.0,4,107,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41181899-bernissestraat-16-b/
amsterdam,rijnbuurt,Kromme-Mijdrechtstraat 35 3,1079 KP Amsterdam,555555.0,3,95,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41182820-kromme-mijdrechtstraat-35-3/
amsterdam,rijnbuurt,Bernissestraat 53 II,1079 ZV Amsterdam,600000.0,5,104,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87480313-bernissestraat-53-ii/
amsterdam,rijnbuurt,Boterdiepstraat 23 /B,1079 ST Amsterdam,775000.0,4,112,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41138910-boterdiepstraat-23-b/
amsterdam,rijnbuurt,Uiterwaardenstraat 5 II,1079 BN Amsterdam,550000.0,3,91,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41096463-uiterwaardenstraat-5-ii/
amsterdam,rijnbuurt,Hoendiepstraat 60 -I,1079 LX Amsterdam,499000.0,3,91,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41070705-hoendiepstraat-60-i/
amsterdam,de-kolenkit,Leeuwendalersweg 566,1061 BH Amsterdam,515000.0,5,124,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87365880-leeuwendalersweg-566/
amsterdam,buitenveldert-oost,Beysterveld 9,1083 KA Amsterdam,550000.0,3,92,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41138528-beysterveld-9/
amsterdam,buitenveldert-oost,Gageldonk 4,1083 BZ Amsterdam,695000.0,4,117,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41006384-gageldonk-4/
amsterdam,buitenveldert-oost,Van Heenvlietlaan 269,1083 DD Amsterdam,629000.0,4,120,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41097313-van-heenvlietlaan-269/
amsterdam,buitenveldert-oost,Rondeel 118,1083 MG Amsterdam,488000.0,3,94,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41118163-rondeel-118/
amsterdam,overtoomse-veld,Wijnand Nuijenstraat 45,1061 WB Amsterdam,400000.0,3,87,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87489809-wijnand-nuijenstraat-45/
amsterdam,overtoomse-veld,Derkinderenstraat 202,1061 VX Amsterdam,400000.0,3,86,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41012456-derkinderenstraat-202/
amsterdam,overtoomse-veld,Theodoor van Hoytemastraat 83,1062 CG Amsterdam,425000.0,3,89,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41118466-theodoor-van-hoytemastraat-83/
amsterdam,burgwallen-nieuwe-zijde,Nieuwezijds Voorburgwal 146 B,1012 SJ Amsterdam,850000.0,3,133,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41190285-nieuwezijds-voorburgwal-146-b/
amsterdam,buitenveldert-oost,Beysterveld 51,1083 KA Amsterdam,550000.0,3,101,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41075095-beysterveld-51/
amsterdam,banne-buiksloot,Ibrahim Moustafapad 14,1034 WD Amsterdam,350000.0,4,94,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41129279-ibrahim-moustafapad-14/
amsterdam,dapperbuurt,Dulcie Septemberpad 14 +PP,1093 NK Amsterdam,875000.0,5,132,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41041481-dulcie-septemberpad-14-pp/
amsterdam,bijlmer-oost-egk,Bijlmerdreef 1147,1103 TT Amsterdam,325000.0,4,103,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41129265-bijlmerdreef-1147/
amsterdam,bijlmer-oost-egk,Bijlmerdreef 1257,1103 TV Amsterdam,425000.0,4,129,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128016-bijlmerdreef-1257/
amsterdam,bijlmer-oost-egk,Korianderstraat 17,1104 HR Amsterdam,425000.0,4,133,50.0,2020-12-12,https://www.funda.nl//koop/amsterdam/huis-41123294-korianderstraat-17/
amsterdam,banne-buiksloot,Bep van Klaverenboulevard 40,1034 WP Amsterdam,350000.0,4,100,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-87005286-bep-van-klaverenboulevard-40/
amsterdam,banne-buiksloot,Jesse Owenshof 41,1034 WT Amsterdam,380000.0,4,92,,2020-12-12,https://www.funda.nl//koop/amsterdam/appartement-41128157-jesse-owenshof-41/
